model,feature,importance,abs_importance
decision_tree_depth3,num__source_identifier_unique_count_gold_minus_loser,0.35821610120343766,0.35821610120343766
decision_tree_depth3,num__source_token_entropy_gold_minus_loser,0.3270695724986211,0.3270695724986211
decision_tree_depth3,num__source_indent_mean_gold_minus_loser,0.261235906931235,0.261235906931235
decision_tree_depth3,num__source_avg_identifier_length_diff_abs,0.05347841936670645,0.05347841936670645
decision_tree_depth3,num__abs_human_score_gap,0.0,0.0
decision_tree_depth3,num__rf_margin_abs,0.0,0.0
decision_tree_depth3,num__rf_margin_percentile,0.0,0.0
decision_tree_depth3,num__source_loc_total_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_total_max,0.0,0.0
decision_tree_depth3,num__source_loc_total_mean,0.0,0.0
decision_tree_depth3,num__source_loc_total_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_diff_abs,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_max,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_mean,0.0,0.0
decision_tree_depth3,num__source_loc_nonempty_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_blank_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_diff_abs,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_max,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_mean,0.0,0.0
decision_tree_depth3,num__source_comment_line_ratio_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_nonempty_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_max_line_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_max_line_length_max,0.0,0.0
decision_tree_depth3,num__source_max_line_length_mean,0.0,0.0
decision_tree_depth3,num__source_max_line_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_count_max,0.0,0.0
decision_tree_depth3,num__source_token_count_mean,0.0,0.0
decision_tree_depth3,num__source_token_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_diff_abs,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_token_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_token_entropy_diff_abs,0.0,0.0
decision_tree_depth3,num__source_token_entropy_max,0.0,0.0
decision_tree_depth3,num__source_token_entropy_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_count_mean,0.0,0.0
decision_tree_depth3,num__source_identifier_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_max,0.0,0.0
decision_tree_depth3,num__source_identifier_unique_count_mean,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_max,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_mean,0.0,0.0
decision_tree_depth3,num__source_avg_identifier_length_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_keyword_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_keyword_count_max,0.0,0.0
decision_tree_depth3,num__source_keyword_count_mean,0.0,0.0
decision_tree_depth3,num__source_keyword_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_operator_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_operator_count_max,0.0,0.0
decision_tree_depth3,num__source_operator_count_mean,0.0,0.0
decision_tree_depth3,num__source_operator_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_literal_count_diff_abs,0.0,0.0
decision_tree_depth3,num__source_literal_count_max,0.0,0.0
decision_tree_depth3,num__source_literal_count_mean,0.0,0.0
decision_tree_depth3,num__source_literal_count_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_mean_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_mean_max,0.0,0.0
decision_tree_depth3,num__source_indent_mean_mean,0.0,0.0
decision_tree_depth3,num__source_indent_max_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_max_max,0.0,0.0
decision_tree_depth3,num__source_indent_max_mean,0.0,0.0
decision_tree_depth3,num__source_indent_max_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_indent_std_diff_abs,0.0,0.0
decision_tree_depth3,num__source_indent_std_max,0.0,0.0
decision_tree_depth3,num__source_indent_std_mean,0.0,0.0
decision_tree_depth3,num__source_indent_std_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_diff_abs,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_max,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_mean,0.0,0.0
decision_tree_depth3,num__source_nesting_mean_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_nesting_max_diff_abs,0.0,0.0
decision_tree_depth3,num__source_nesting_max_max,0.0,0.0
decision_tree_depth3,num__source_nesting_max_mean,0.0,0.0
decision_tree_depth3,num__source_nesting_max_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_diff_abs,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_max,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_mean,0.0,0.0
decision_tree_depth3,num__source_cyclomatic_estimate_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_max,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operators_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_diff_abs,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_max,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_mean,0.0,0.0
decision_tree_depth3,num__source_halstead_distinct_operands_gold_minus_loser,0.0,0.0
decision_tree_depth3,num__source_halstead_vocabulary_diff_abs,0.0,0.0
